110,0.00405
111,0.00515
112,0.0074600000000000005
113,0.01411
114,0.03223
115,0.08925
116,0.22026
117,0.62815
118,2.51481
119,3.67981
120,4.51262
121,4.88045
122,5.59989
123,7.04507
124,6.54848
125,8.34547
126,9.56268
127,9.78145
128,10.65107
129,12.01314
130,13.4008
131,14.54585
132,15.80509
133,17.06011
134,18.395789999999998
135,19.5206
136,20.7143
137,21.73398
138,23.07418
139,24.17693
140,25.03439
141,26.09562
142,27.131
143,27.98856
144,28.59118
145,29.03278
146,29.17882
147,29.10029
148,29.08417
149,29.10817
150,29.03272
151,28.96104
152,28.99723
153,28.88442
154,28.84192
155,28.91063
156,28.95943
157,28.86924
158,28.84363
159,28.76962
160,28.78168
161,28.6408
162,28.59564
163,28.60042
164,28.70625
165,28.71075
166,28.65967
167,28.73217
168,28.62463
169,28.6851
170,28.64187
171,28.66097
172,28.52214
173,28.68636
174,28.66001
175,28.68434
176,28.64443
177,28.62964
178,28.62825
179,28.55634
